iter	RMSE
0	15.11509786
1	15.06621944
2	15.01825935
3	14.98084151
4	14.94205832
5	14.90436221
6	14.87192437
7	14.83588371
8	14.81041927
9	14.77651891
10	14.75457022
11	14.72900276
12	14.70248977
13	14.67900162
14	14.66002502
15	14.64356391
16	14.62970946
17	14.61152066
18	14.59487781
19	14.58304563
20	14.56594293
21	14.55040137
22	14.53971873
23	14.52822561
24	14.51447209
25	14.50508688
26	14.49347801
27	14.48213406
28	14.46943539
29	14.46074057
30	14.45074714
31	14.4418947
32	14.4331915
33	14.42551877
34	14.41545187
35	14.4081614
36	14.40005857
37	14.3933091
38	14.38798505
39	14.38271496
40	14.37627074
41	14.37026108
42	14.36435566
43	14.35797167
44	14.35387443
45	14.34669516
46	14.34157934
47	14.33460566
48	14.33105682
49	14.32664766
50	14.32244475
51	14.31854405
52	14.31188104
53	14.3069495
54	14.30236256
55	14.29883684
56	14.29494972
57	14.29093655
58	14.28672942
59	14.28341153
60	14.27935623
61	14.27501649
62	14.27041441
63	14.2660016
64	14.25993914
65	14.25646527
66	14.25129651
67	14.2462516
68	14.24260059
69	14.23765589
70	14.23140155
71	14.22734664
72	14.22440481
73	14.22241975
74	14.21840449
75	14.21516075
76	14.21225882
77	14.20749097
78	14.20517901
79	14.20106175
80	14.19665544
81	14.19342338
82	14.18911445
83	14.18625771
84	14.18271675
85	14.17743791
86	14.17509735
87	14.17124823
88	14.1671321
89	14.16306307
90	14.15939493
91	14.15692864
92	14.15312394
93	14.14845529
94	14.14483394
95	14.14253885
96	14.13914577
97	14.13632424
98	14.13276595
99	14.12963767
100	14.12737499
101	14.12349102
