iter	Passed	Remaining
0	3	351
1	6	304
2	9	321
3	12	304
4	15	293
5	17	286
6	20	278
7	23	274
8	25	267
9	28	261
10	31	257
11	34	255
12	36	250
13	39	245
14	42	243
15	44	240
16	47	236
17	50	233
18	52	230
19	55	228
20	58	225
21	61	222
22	63	218
23	66	216
24	69	214
25	71	210
26	75	208
27	77	205
28	80	202
29	83	199
30	85	196
31	88	193
32	91	190
33	93	187
34	96	184
35	98	181
36	101	178
37	104	175
38	107	173
39	109	170
40	112	167
41	115	164
42	117	161
43	120	158
44	123	156
45	125	153
46	128	150
47	131	147
48	133	144
49	136	141
50	139	139
51	141	136
52	144	133
53	147	130
54	149	127
55	152	125
56	155	122
57	158	119
58	160	117
59	163	114
60	166	111
61	169	109
62	172	106
63	174	103
64	177	100
65	180	98
66	183	95
67	185	92
68	188	90
69	190	87
70	193	84
71	196	81
72	198	78
73	201	76
74	204	73
75	206	70
76	209	67
77	211	65
78	214	62
79	217	59
80	219	56
81	222	54
82	225	51
83	227	48
84	230	46
85	233	43
86	235	40
87	238	37
88	241	35
89	243	32
90	246	29
91	249	27
92	252	24
93	255	21
94	257	18
95	260	16
96	263	13
97	265	10
98	268	8
99	270	5
100	274	2
101	276	0
